District Name,School Name,Total Number of Students Registered,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
District 1,ZPP 1,133,2,0,7,44,37,6,7,0,4,2,1,1
District 1,ZPP 2,135,5,2,12,59,23,8,13,11,6,12,5,0
District 1,ZPP 3,69,0,0,4,31,32,18,4,6,3,1,0,0
District 1,ZPP 4,106,5,1,12,9,24,24,23,10,15,9,1,0
District 1,ZPP 5,102,1,0,3,15,26,4,1,3,1,1,0,0
District 1,ZPP 6,175,23,3,0,66,1,23,2,0,0,0,0,0
District 1,ZPP 7,188,18,1,3,38,2,33,1,3,6,0,1,0
District 2,ZPP 8,125,1,6,58,30,25,26,1,1,0,1,0,0
District 2,ZPP 9,169,9,4,18,32,44,60,41,22,7,3,3,21
District 2,ZPP 10,85,11,2,20,32,29,52,26,2,0,1,3,1
District 2,ZPP 11,107,13,5,13,13,30,3,18,3,1,0,3,1
District 2,ZPP 12,171,49,44,39,92,77,42,34,15,7,3,1,0
District 2,ZPP 13,171,6,49,74,75,57,80,82,83,15,0,5,1
District 2,ZPP 14,174,13,18,33,99,63,70,91,34,10,1,7,2
District 2,ZPP 15,101,10,1,19,73,61,57,41,13,6,25,2,0
District 2,ZPP 16,155,16,5,36,49,71,66,44,18,58,7,1,1
District 3,ZPP 17,114,6,15,50,63,36,49,59,51,30,46,5,1
District 3,ZPP 18,82,18,5,50,60,54,5,35,38,42,34,5,4
District 3,ZPP 19,134,11,11,25,57,66,85,39,32,7,12,1,0
District 3,ZPP 20,124,11,5,5,37,44,20,8,5,1,2,0,0
District 3,ZPP 21,102,13,7,9,96,57,49,13,22,2,0,3,0
District 3,ZPP 22,134,10,4,51,72,87,32,20,2,2,14,6,0
District 3,ZPP 23,132,11,19,47,46,66,52,66,55,52,62,2,1
District 3,ZPP 24,129,35,41,97,105,88,69,37,31,66,61,5,8
District 4,ZPP 25,208,2,11,9,14,71,66,31,5,1,0,1,0
District 4,ZPP 26,167,9,15,13,25,32,22,23,14,8,5,0,0
District 4,ZPP 27,45,0,0,3,0,0,0,0,0,0,0,0,0
District 4,ZPP 28,204,0,13,42,42,63,24,29,47,24,48,1,0
District 4,ZPP 29,111,3,1,33,48,53,51,42,40,32,22,2,1
District 4,ZPP 30,159,23,27,53,50,50,43,33,36,30,33,2,2
District 4,ZPP 31,110,18,40,56,71,76,85,74,58,45,46,5,0
District 4,ZPP 32,159,3,1,17,46,56,41,42,35,39,22,0,0
District 4,ZPP 33,139,7,2,4,73,43,78,31,10,3,11,2,1
District 4,ZPP 34,167,10,3,1,65,46,54,41,14,23,15,3,2
District 4,ZPP 35,114,1,17,11,50,60,34,26,26,5,0,1,3
District 4,ZPP 36,154,1,21,18,29,70,32,9,2,0,2,5,3
District 5,ZPP 37,109,7,3,0,2,5,1,1,0,0,0,0,0
District 5,ZPP 38,151,17,7,5,49,62,100,63,61,40,60,2,1
District 5,ZPP 39,90,3,5,2,47,61,52,77,27,34,14,0,0
District 5,ZPP 40,144,25,5,4,27,44,51,40,5,12,21,1,0
District 5,ZPP 41,138,4,2,9,7,3,4,10,4,5,3,1,1
District 5,ZPP 42,123,21,38,32,34,79,59,53,52,47,52,23,18
District 6,ZPP 43,157,0,0,3,3,0,0,1,0,0,0,0,0
District 6,ZPP 44,172,8,5,6,2,0,0,0,0,0,0,0,0
District 6,ZPP 45,251,37,50,53,50,42,45,38,32,27,22,15,8
District 6,ZPP 46,391,12,24,19,15,16,9,9,2,4,2,1,5
District 6,ZPP 47,214,13,10,7,7,6,0,12,4,1,0,0,0
District 6,ZPP 48,135,15,11,15,7,2,7,1,0,0,0,0,0
District 6,ZPP 49,119,14,9,22,14,11,2,3,0,1,0,0,0
District 6,ZPP 50,123,18,30,30,4,16,12,22,7,4,10,2,4
District 6,ZPP 51,332,0,0,22,61,68,37,13,30,42,56,4,5
District 6,ZPP 52,208,0,0,0,21,18,0,1,12,18,1,0,0
District 6,ZPP 53,501,3,0,0,0,0,13,7,0,9,7,3,3
District 6,ZPP 54,122,0,3,0,0,1,0,0,0,1,0,0,0
District 6,ZPP 55,247,0,0,0,22,55,12,63,15,2,8,0,0
District 6,ZPP 56,217,1,0,33,27,31,55,15,34,21,14,0,0
District 6,ZPP 57,39,7,4,0,8,1,22,16,4,1,1,0,0
District 6,ZPP 58,88,27,14,29,11,1,47,44,11,2,0,4,3
District 6,ZPP 59,142,8,2,5,9,5,23,17,6,3,1,1,5
District 6,ZPP 60,179,0,1,0,0,0,2,5,2,3,2,0,0
District 7,ZPP 61,139,5,16,53,61,30,32,54,76,49,5,3,0
District 7,ZPP 62,145,0,19,19,16,8,55,46,30,13,5,1,0
District 7,ZPP 63,125,0,2,6,0,0,1,3,0,6,0,4,1
District 7,ZPP 64,139,15,16,5,6,4,24,23,17,18,12,13,7
District 7,ZPP 65,209,1,9,2,20,16,2,5,3,3,1,0,1
District 7,ZPP 66,144,0,1,0,2,5,3,16,8,7,3,2,1
District 7,ZPP 67,264,0,1,0,34,10,2,1,0,1,1,1,1
District 7,ZPP 68,161,8,8,1,56,34,11,19,66,31,5,0,0
District 8,ZPP 69,160,7,11,2,21,27,20,21,17,10,7,6,5
District 8,ZPP 70,127,10,6,3,13,22,46,39,38,24,17,5,4
District 8,ZPP 71,132,8,17,8,29,19,34,37,24,17,7,7,3
District 8,ZPP 72,147,8,5,1,10,10,14,9,9,5,2,2,3
District 8,ZPP 73,125,11,15,12,12,13,30,28,26,17,23,6,4
District 8,ZPP 74,109,6,1,1,22,27,29,19,12,21,4,1,0
District 8,ZPP 75,153,3,2,1,15,8,19,14,18,11,5,1,0
District 8,ZPP 76,182,4,3,3,23,23,15,19,13,10,5,2,1
District 8,ZPP 77,207,22,12,32,22,42,14,10,3,3,0,0,0
District 8,ZPP 78,315,7,2,4,1,15,0,1,0,0,0,2,1
District 8,ZPP 79,209,0,0,0,0,4,21,7,0,0,0,0,0
District 8,ZPP 80,173,12,0,4,0,7,0,0,0,0,0,0,0
District 8,ZPP 81,426,1,1,1,13,32,17,13,18,12,6,2,2
District 8,ZPP 82,179,4,1,4,2,4,0,0,0,0,0,0,0
District 8,ZPP 83,236,4,0,0,39,16,9,4,14,6,3,0,0
District 8,ZPP 84,48,3,0,0,2,0,1,0,0,0,0,0,0
District 8,ZPP 85,291,14,9,6,24,36,21,3,8,17,4,0,2
District 9,ZPP 86,162,7,3,3,10,23,8,6,9,3,3,1,0
District 9,ZPP 87,158,0,0,0,56,22,0,0,0,0,62,1,1
District 9,ZPP 88,0,0,0,0,0,0,0,0,0,0,0,0,0
District 9,ZPP 89,135,0,1,1,8,6,2,1,1,1,0,0,0
District 9,ZPP 90,164,1,0,0,0,16,1,0,13,0,24,0,0
District 9,ZPP 91,205,30,22,20,26,21,37,37,3,36,55,8,4
District 9,ZPP 92,215,1,1,2,1,0,1,1,0,1,16,4,1
District 9,ZPP 93,222,3,1,0,7,10,1,11,3,23,10,0,1
District 9,ZPP 94,151,2,0,0,8,23,27,23,28,55,45,6,8
District 10,ZPP 95,158,7,5,3,4,4,5,2,0,2,2,2,0
District 10,ZPP 96,106,9,18,4,6,6,5,1,4,9,4,1,2
District 10,ZPP 97,46,0,0,0,0,0,0,0,0,0,0,0,0
District 10,ZPP 98,129,29,0,4,1,0,5,0,0,0,0,1,0
District 10,ZPP 99,40,5,0,1,3,36,1,1,0,2,0,0,0
District 10,ZPP 100,33,0,0,0,0,0,0,0,0,0,2,3,0
District 10,ZPP 101,160,32,72,65,71,46,23,16,10,20,32,8,2
District 11,ZPP 102,171,4,0,1,7,16,12,6,3,2,0,0,0
District 11,ZPP 103,187,32,19,27,69,75,63,40,54,43,47,31,38
District 11,ZPP 104,115,9,1,9,18,18,6,1,10,1,0,0,1
District 11,ZPP 105,180,6,2,2,3,4,7,0,0,1,0,0,0
District 11,ZPP 106,181,0,1,1,5,0,5,2,0,0,1,0,0
District 11,ZPP 107,63,1,0,0,0,0,0,0,0,0,0,0,0
District 11,ZPP 108,133,14,4,0,8,32,97,90,97,93,97,0,0
District 11,ZPP 109,187,1,0,0,6,2,0,0,1,0,0,0,0
District 11,ZPP 110,187,4,6,7,18,22,25,16,9,6,6,1,1
District 11,ZPP 111,209,4,1,0,5,14,14,0,8,16,6,0,0
District 12,ZPP 112,230,15,4,13,28,91,73,0,55,78,23,12,7
District 12,ZPP 113,49,0,0,0,0,3,17,0,0,0,4,0,0
District 12,ZPP 114,129,6,0,4,13,15,1,0,6,0,0,0,1
District 12,ZPP 115,124,11,6,21,22,14,42,7,2,13,6,1,1
District 12,ZPP 116,182,16,2,2,33,15,39,22,7,4,1,2,3
District 12,ZPP 117,151,16,10,16,24,17,25,7,4,3,8,2,16
District 13,ZPP 118,177,10,8,0,10,46,30,9,22,16,0,0,0
District 13,ZPP 119,37,12,6,4,7,20,14,13,13,7,10,1,2
District 13,ZPP 120,41,13,4,0,1,18,15,3,1,1,1,0,0
District 13,ZPP 121,102,37,10,28,45,52,45,48,37,6,22,1,11
District 13,ZPP 122,81,14,6,37,40,45,48,45,36,36,35,31,21
District 13,ZPP 123,148,19,4,25,17,47,34,43,41,7,7,1,16
District 13,ZPP 124,169,23,45,67,121,115,106,120,149,121,77,35,30
District 13,ZPP 125,124,0,0,59,74,8,29,39,30,6,33,1,16
District 13,ZPP 126,92,0,0,0,0,5,49,16,38,25,14,7,5
District 13,ZPP 127,153,6,12,46,72,54,114,94,105,75,56,15,11
District 13,ZPP 128,199,20,52,30,50,38,29,38,10,12,5,3,2
District 13,ZPP 129,276,10,26,25,52,52,35,32,10,3,0,4,3
District 14,ZPP 130,160,22,3,0,0,0,0,7,0,0,0,22,36
District 14,ZPP 131,92,23,0,1,17,15,29,24,0,0,0,1,15
District 14,ZPP 132,80,5,1,2,14,0,2,0,0,1,0,17,11
District 14,ZPP 133,165,50,39,33,43,71,43,51,38,77,78,47,11
District 14,ZPP 134,98,16,10,18,22,15,4,2,0,0,0,0,0
District 14,ZPP 135,146,41,70,18,23,38,13,51,5,34,4,2,2
District 14,ZPP 136,60,2,8,11,26,34,8,1,2,0,0,0,0
District 14,ZPP 137,173,12,7,24,32,34,30,4,2,3,1,2,9
District 14,ZPP 138,146,15,2,57,18,48,33,39,21,10,9,0,0
District 14,ZPP 139,112,40,33,43,57,7,78,4,63,6,0,0,0
District 14,ZPP 140,117,5,1,16,75,34,72,24,3,1,3,1,0
District 14,ZPP 141,109,9,22,13,50,49,55,9,59,2,36,0,1
District 14,ZPP 142,132,15,6,12,20,48,44,27,6,27,49,0,0
District 15,ZPP 143,128,22,1,7,40,12,33,34,9,1,29,0,0
District 15,ZPP 144,216,22,5,11,43,23,35,35,40,70,77,1,0
District 15,ZPP 145,76,0,0,0,99,101,75,61,66,41,32,0,0
District 15,ZPP 146,175,0,0,22,64,21,33,8,13,9,3,5,1
District 15,ZPP 147,233,0,0,25,27,5,7,1,1,0,2,5,1
District 15,ZPP 148,254,0,0,0,18,7,0,0,0,0,0,1,0
District 15,ZPP 149,188,3,4,14,39,74,42,37,47,5,34,2,14
District 15,ZPP 150,177,0,0,4,19,20,0,1,0,0,6,6,1
District 15,ZPP 151,206,0,1,23,86,85,4,52,30,12,50,0,0
District 15,ZPP 152,95,1,17,22,69,60,76,57,45,59,73,5,37
District 15,ZPP 153,152,0,5,8,61,40,47,50,47,6,35,1,21
